Company code.Company code Level 01,Company code.Company code Level 01.Company (Key),Fiscal year/period.Fiscal year/period Level 01,G/L Account.Level 01,G/L Account.Level 02,G/L Account.Level 03,G/L Account.Level 04,Profit Center.Profit Center Level 01,Profit Center.Profit Center Level 01.Key,Profit Center.Profit Center Level 01.Profit Center Level 01.UniqueName,MTD&0T_FPIE&Actual,MTD&0T_FPIE&Budget,Reporting date,G/L Account.Level 01.Key,G/L Account.Level 02.Key,G/L Account.Level 03.Key,G/L Account.Level 04.Key,count_difference
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Gross Revenue,Other Revenue,FORFEIT/ PENALTY INC,JH,DPJH00,[ZSPROFCTR].[DPJH00],-34200,,2022-04-01,M_NET_PROPERTY_,M_GROSS_REV,M_OTH_REV,KS00/59107100,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Gross Revenue,Other Revenue,INT INC-LATE-3TH PTY,JH,DPJH00,[ZSPROFCTR].[DPJH00],0,,2022-04-01,M_NET_PROPERTY_,M_GROSS_REV,M_OTH_REV,KS00/59104210,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Gross Revenue,Other Revenue,MANAGEMENT FEE,Head office,HO0000,[ZSPROFCTR].[HO0000],-415732,-307532.3,2022-04-01,M_NET_PROPERTY_,M_GROSS_REV,M_OTH_REV,KS00/59301115,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Gross Revenue,Other Revenue,OTHINC-JOBCR SEC REV,Head office,HO0000,[ZSPROFCTR].[HO0000],-14037.28,,2022-04-01,M_NET_PROPERTY_,M_GROSS_REV,M_OTH_REV,KS00/59301120,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Gross Revenue,Other Revenue,REALISED GAIN,Head office,HO0000,[ZSPROFCTR].[HO0000],20.83,,2022-04-01,M_NET_PROPERTY_,M_GROSS_REV,M_OTH_REV,KS00/59004100,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Gross Revenue,Recovery from Tenants,RECOVERY EXPENSES,Head office,HO0000,[ZSPROFCTR].[HO0000],8658.91,18000,2022-04-01,M_NET_PROPERTY_,M_GROSS_REV,M_RECO_TENTS,KS00/85005130,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Gross Revenue,Recovery from Tenants,RECOVERY INCOME,Head office,HO0000,[ZSPROFCTR].[HO0000],-8658.91,-18000,2022-04-01,M_NET_PROPERTY_,M_GROSS_REV,M_RECO_TENTS,KS00/59107220,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Property Operating Expenses,Depreciation / Writeoff of Assets,AMTN-ROU,Head office,HO0000,[ZSPROFCTR].[HO0000],55533.94,55533.94,2022-04-01,M_NET_PROPERTY_,M_PROPERTY_OP_E,M_DEPR_WRITEOFF,KS00/86105400,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Property Operating Expenses,Depreciation / Writeoff of Assets,DEPN COMPUTER,Head office,HO0000,[ZSPROFCTR].[HO0000],36184.22,43749.92,2022-04-01,M_NET_PROPERTY_,M_PROPERTY_OP_E,M_DEPR_WRITEOFF,KS00/86006100,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Property Operating Expenses,Depreciation / Writeoff of Assets,DEPN FURN & FITTINGS,Head office,HO0000,[ZSPROFCTR].[HO0000],16190.64,16190.66,2022-04-01,M_NET_PROPERTY_,M_PROPERTY_OP_E,M_DEPR_WRITEOFF,KS00/86005100,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Property Operating Expenses,Depreciation / Writeoff of Assets,DEPN OFFICE EQPT,Head office,HO0000,[ZSPROFCTR].[HO0000],641.86,641.87,2022-04-01,M_NET_PROPERTY_,M_PROPERTY_OP_E,M_DEPR_WRITEOFF,KS00/86007100,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Property Operating Expenses,General & Admin Expenses,ACCOUNTING FEE,Head office,HO0000,[ZSPROFCTR].[HO0000],0,,2022-04-01,M_NET_PROPERTY_,M_PROPERTY_OP_E,M_GA,KS00/83001110,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Property Operating Expenses,General & Admin Expenses,ADMIN SERVICE FEE,Head office,HO0000,[ZSPROFCTR].[HO0000],49773.15,49957,2022-04-01,M_NET_PROPERTY_,M_PROPERTY_OP_E,M_GA,KS00/83001140,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Property Operating Expenses,General & Admin Expenses,AUDIT FEES,Head office,HO0000,[ZSPROFCTR].[HO0000],4,4333.33,2022-04-01,M_NET_PROPERTY_,M_PROPERTY_OP_E,M_GA,KS00/83002110,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Property Operating Expenses,General & Admin Expenses,BANK CHARGES,Head office,HO0000,[ZSPROFCTR].[HO0000],147.2,140,2022-04-01,M_NET_PROPERTY_,M_PROPERTY_OP_E,M_GA,KS00/84102110,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Property Operating Expenses,General & Admin Expenses,BANK CHARGES,JH,DPJH00,[ZSPROFCTR].[DPJH00],0,,2022-04-01,M_NET_PROPERTY_,M_PROPERTY_OP_E,M_GA,KS00/84102110,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Property Operating Expenses,General & Admin Expenses,BROCHURES & PRODUCT,JH,DPJH00,[ZSPROFCTR].[DPJH00],1701.3,0,2022-04-01,M_NET_PROPERTY_,M_PROPERTY_OP_E,M_GA,KS00/87101115,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Property Operating Expenses,General & Admin Expenses,DONATION/CC MESSAGE,Head office,HO0000,[ZSPROFCTR].[HO0000],,5000,2022-04-01,M_NET_PROPERTY_,M_PROPERTY_OP_E,M_GA,KS00/85009130,1
Allgreen Properties Ltd,EA01,APR 2022,Net Property Income,Property Operating Expenses,General & Admin Expenses,GENERAL EXPENSES,Head office,HO0000,[ZSPROFCTR].[HO0000],1012.69,440,2022-04-01,M_NET_PROPERTY_,M_PROPERTY_OP_E,M_GA,KS00/85009170,1
