Company code.Company code Level 01,Company code.Company code Level 01.Company (Key),Fiscal year/period.Fiscal year/period Level 01,G/L Account.Level 01,G/L Account.Level 02,G/L Account.Level 03,G/L Account.Level 04,Profit Center.Profit Center Level 01,Profit Center.Profit Center Level 01.Key,Profit Center.Profit Center Level 01.Profit Center Level 01.UniqueName,MTD&0T_FPIE&Actual,MTD&0T_FPIE&Budget,Reporting date,G/L Account.Level 01.Key,G/L Account.Level 02.Key,G/L Account.Level 03.Key,G/L Account.Level 04.Key,count_difference
ALG Properties (Malaysia),EA33,2023-11-01,Net Property Income,Gross Revenue,Other Revenue,REALISED GAIN,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-11-01,M_NET_PROPERTY_INCOME,M_GROSS_REV,M_OTH_REV,KS00/59004100,1
ALG Properties (Malaysia),EA33,2023-11-01,Net Property Income,Property Operating E,General & Admin Expe,ACCOUNTING FEE,IH,IH0000,[ZSPROFCTR].[IH0000],648,,2023-11-01,M_NET_PROPERTY_INCOME,M_PROPERTY_OP_EXP,M_GA,KS00/83001110,1
ALG Properties (Malaysia),EA33,2023-11-01,Net Property Income,Property Operating E,General & Admin Expe,AUDIT FEES,IH,IH0000,[ZSPROFCTR].[IH0000],309.4,,2023-11-01,M_NET_PROPERTY_INCOME,M_PROPERTY_OP_EXP,M_GA,KS00/83002110,1
ALG Properties (Malaysia),EA33,2023-11-01,Net Property Income,Property Operating E,General & Admin Expe,PRINT & STATIONERY,IH,IH0000,[ZSPROFCTR].[IH0000],55,,2023-11-01,M_NET_PROPERTY_INCOME,M_PROPERTY_OP_EXP,M_GA,KS00/85003130,1
ALG Properties (Malaysia),EA33,2023-11-01,Net Property Income,Property Operating E,General & Admin Expe,REG & FILING,IH,IH0000,[ZSPROFCTR].[IH0000],55.5,,2023-11-01,M_NET_PROPERTY_INCOME,M_PROPERTY_OP_EXP,M_GA,KS00/85003140,1
ALG Properties (Malaysia),EA33,2023-11-01,Not Assigned G/L Account (s),,,IC Due To,IH,IH0000,[ZSPROFCTR].[IH0000],-6997.3,,2023-11-01,,,,KS00/31909150,1
ALG Properties (Malaysia),EA33,2023-11-01,Not Assigned G/L Account (s),,,ISSUED SHARE CAPITAL,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-11-01,,,,KS00/41001110,1
ALG Properties (Malaysia),EA33,2023-11-01,Not Assigned G/L Account (s),,,Intercompany Due Frm,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-11-01,,,,KS00/25002110,1
ALG Properties (Malaysia),EA33,2023-11-01,Not Assigned G/L Account (s),,,NT. ACCRUALS,IH,IH0000,[ZSPROFCTR].[IH0000],14.6,,2023-11-01,,,,KS00/31104100,1
ALG Properties (Malaysia),EA33,2023-11-01,Not Assigned G/L Account (s),,,NT. PAYABLE-EMPLOYEE,IH,IH0000,[ZSPROFCTR].[IH0000],-35,,2023-11-01,,,,KS00/31103100,1
ALG Properties (Malaysia),EA33,2023-11-01,Not Assigned G/L Account (s),,,NT. PAYABLE-I/C,IH,IH0000,[ZSPROFCTR].[IH0000],2916,,2023-11-01,,,,KS00/31102100,1
ALG Properties (Malaysia),EA33,2023-11-01,Not Assigned G/L Account (s),,,RETAINED EARNINGS-CY,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-11-01,,,,KS00/42104100,1
ALG Properties (Malaysia),EA33,2023-11-01,Not Assigned G/L Account (s),,,RETAINED EARNINGS-PY,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-11-01,,,,KS00/42104210,1
ALG Properties (Malaysia),EA33,2023-11-01,Not Assigned G/L Account (s),,,T. PAYABLES,IH,IH0000,[ZSPROFCTR].[IH0000],3033.8,,2023-11-01,,,,KS00/31001100,1
ALG Properties (Malaysia),EA33,2023-12-01,Net Property Income,Gross Revenue,Other Revenue,REALISED GAIN,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-12-01,M_NET_PROPERTY_INCOME,M_GROSS_REV,M_OTH_REV,KS00/59004100,1
ALG Properties (Malaysia),EA33,2023-12-01,Net Property Income,Property Operating E,General & Admin Expe,ACCOUNTING FEE,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-12-01,M_NET_PROPERTY_INCOME,M_PROPERTY_OP_EXP,M_GA,KS00/83001110,1
ALG Properties (Malaysia),EA33,2023-12-01,Net Property Income,Property Operating E,General & Admin Expe,AUDIT FEES,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-12-01,M_NET_PROPERTY_INCOME,M_PROPERTY_OP_EXP,M_GA,KS00/83002110,1
ALG Properties (Malaysia),EA33,2023-12-01,Net Property Income,Property Operating E,General & Admin Expe,PRINT & STATIONERY,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-12-01,M_NET_PROPERTY_INCOME,M_PROPERTY_OP_EXP,M_GA,KS00/85003130,1
ALG Properties (Malaysia),EA33,2023-12-01,Net Property Income,Property Operating E,General & Admin Expe,REG & FILING,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-12-01,M_NET_PROPERTY_INCOME,M_PROPERTY_OP_EXP,M_GA,KS00/85003140,1
ALG Properties (Malaysia),EA33,2023-12-01,Not Assigned G/L Account (s),,,IC Due To,IH,IH0000,[ZSPROFCTR].[IH0000],-110.5,,2023-12-01,,,,KS00/31909150,1
ALG Properties (Malaysia),EA33,2023-12-01,Not Assigned G/L Account (s),,,ISSUED SHARE CAPITAL,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-12-01,,,,KS00/41001110,1
ALG Properties (Malaysia),EA33,2023-12-01,Not Assigned G/L Account (s),,,Intercompany Due Frm,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-12-01,,,,KS00/25002110,1
ALG Properties (Malaysia),EA33,2023-12-01,Not Assigned G/L Account (s),,,NT. ACCRUALS,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-12-01,,,,KS00/31104100,1
ALG Properties (Malaysia),EA33,2023-12-01,Not Assigned G/L Account (s),,,NT. PAYABLE-EMPLOYEE,IH,IH0000,[ZSPROFCTR].[IH0000],55.5,,2023-12-01,,,,KS00/31103100,1
ALG Properties (Malaysia),EA33,2023-12-01,Not Assigned G/L Account (s),,,NT. PAYABLE-I/C,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-12-01,,,,KS00/31102100,1
ALG Properties (Malaysia),EA33,2023-12-01,Not Assigned G/L Account (s),,,REALISED LOSS,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-12-01,,,,KS00/84201100,1
ALG Properties (Malaysia),EA33,2023-12-01,Not Assigned G/L Account (s),,,RETAINED EARNINGS-CY,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-12-01,,,,KS00/42104100,1
ALG Properties (Malaysia),EA33,2023-12-01,Not Assigned G/L Account (s),,,RETAINED EARNINGS-PY,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2023-12-01,,,,KS00/42104210,1
ALG Properties (Malaysia),EA33,2023-12-01,Not Assigned G/L Account (s),,,T. PAYABLES,IH,IH0000,[ZSPROFCTR].[IH0000],55,,2023-12-01,,,,KS00/31001100,1
ALG Properties (Malaysia),EA33,2024-01-01,Net Property Income,Property Operating E,General & Admin Expe,ACCOUNTING FEE,IH,IH0000,[ZSPROFCTR].[IH0000],327,,2024-01-01,M_NET_PROPERTY_INCOME,M_PROPERTY_OP_EXP,M_GA,KS00/83001110,1
ALG Properties (Malaysia),EA33,2024-01-01,Net Property Income,Property Operating E,General & Admin Expe,REG & FILING,IH,IH0000,[ZSPROFCTR].[IH0000],42.9,,2024-01-01,M_NET_PROPERTY_INCOME,M_PROPERTY_OP_EXP,M_GA,KS00/85003140,1
ALG Properties (Malaysia),EA33,2024-01-01,Not Assigned G/L Account (s),,,IC Due To,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2024-01-01,,,,KS00/31909150,1
ALG Properties (Malaysia),EA33,2024-01-01,Not Assigned G/L Account (s),,,ISSUED SHARE CAPITAL,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2024-01-01,,,,KS00/41001110,1
ALG Properties (Malaysia),EA33,2024-01-01,Not Assigned G/L Account (s),,,Intercompany Due Frm,IH,IH0000,[ZSPROFCTR].[IH0000],0,,2024-01-01,,,,KS00/25002110,1
ALG Properties (Malaysia),EA33,2024-01-01,Not Assigned G/L Account (s),,,NT. ACCRUALS,IH,IH0000,[ZSPROFCTR].[IH0000],-327,,2024-01-01,,,,KS00/31104100,1
ALG Properties (Malaysia),EA33,2024-01-01,Not Assigned G/L Account (s),,,NT. PAYABLE-EMPLOYEE,IH,IH0000,[ZSPROFCTR].[IH0000],-42.9,,2024-01-01,,,,KS00/31103100,1
ALG Properties (Malaysia),EA33,2024-01-01,Not Assigned G/L Account (s),,,RETAINED EARNINGS-CY,IH,IH0000,[ZSPROFCTR].[IH0000],-7443.2,,2024-01-01,,,,KS00/42104100,1
ALG Properties (Malaysia),EA33,2024-01-01,Not Assigned G/L Account (s),,,RETAINED EARNINGS-PY,IH,IH0000,[ZSPROFCTR].[IH0000],7443.2,,2024-01-01,,,,KS00/42104210,1
ALG Properties (Malaysia),EA33,2024-02-01,Net Property Income,Property Operating E,General & Admin Expe,ACCOUNTING FEE,IH,IH0000,[ZSPROFCTR].[IH0000],327,,2024-02-01,M_NET_PROPERTY_INCOME,M_PROPERTY_OP_EXP,M_GA,KS00/83001110,1
ALG Properties (Malaysia),EA33,2024-02-01,Net Property Income,Property Operating E,General & Admin Expe,REG & FILING,IH,IH0000,[ZSPROFCTR].[IH0000],-42.9,,2024-02-01,M_NET_PROPERTY_INCOME,M_PROPERTY_OP_EXP,M_GA,KS00/85003140,1
